stimID,stimType,prime,target,prime_cond,target_cond,prime_lex,target_lex,prime_corrAns,target_corrAns,prime_audio,target_audio,thisN,thisTrialN,thisRepN,primeKey.keys,primeKey.corr,primeKey.rt,primeKey.duration,targetKey.keys,targetKey.corr,targetKey.rt,targetKey.duration,prime_freq,target_freq,lsa,breakKey.keys,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcomeKey.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,primeStim.started,primeImage.started,primeKey.started,primeAudio.started,primeStim.stopped,practice.primeKey.keys,practice.primeKey.corr,practice.primeKey.rt,practice.primeKey.duration,feedback.started,feedbackText.started,feedback.stopped,targetStim.started,targetImage.started,targetKey.started,targetAudio.started,targetStim.stopped,practice.targetKey.keys,practice.targetKey.corr,practice.targetKey.rt,practice.targetKey.duration,feedbackText.stopped,start.started,startKey.started,start.stopped,startKey.keys,startKey.rt,startKey.duration,primeAudio.stopped,trials.primeKey.keys,trials.primeKey.corr,trials.primeKey.rt,trials.primeKey.duration,targetAudio.stopped,trials.targetKey.keys,trials.targetKey.corr,trials.targetKey.rt,trials.targetKey.duration,pause.started,pause.stopped,trials.breakKey.keys,participant,list_no,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09597440000015922,0.10603949999995166,0.8957986000000346,space,0.7389779999998609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
c,practice,schulling,mand,practice,practice,nw,w,f,j,schulling.wav,mand.wav,0,0,0,f,1,1.4915962000000036,None,j,1,1.1850239000000329,None,,,,,0,0,0,2,,,,,0.9059547000001658,,,,,,,,3.557638400000087,3.57290329999978,4.156250999999884,4.140907200000129,1.5255201999998462,1.539447900000141,1.539447900000141,1.6396669666667245,3.041037200000119,f,1,1.4915962000000036,None,5.373970600000121,5.3898104999998395,5.874450499999966,4.141901399999824,4.156250999999884,4.156250999999884,4.256354766666633,5.357525500000065,j,1,1.1850239000000329,None,,,,,,,,,,,,,,,,,,,,,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
a,practice,pippen,kaas,practice,practice,nw,w,f,j,pippen.wav,kaas.wav,1,1,0,f,1,1.2102731999998468,None,j,1,1.0428947000000335,None,,,,,0,1,1,0,,,,,5.889681699999983,,,,,,,,8.024622699999782,8.039980999999898,8.756447599999774,8.741151199999877,6.2581067999999505,6.283629699999892,6.283629699999892,6.356687366666635,7.508002999999917,f,1,1.2102731999998468,None,9.824068299999908,9.839903099999901,10.32428149999987,8.741894100000081,8.756447599999774,8.756447599999774,8.840183066666457,9.80807999999979,j,1,1.0428947000000335,None,,,,,,,,,,,,,,,,,,,,,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
b,practice,beer,demel,practice,practice,w,nw,j,f,beer.wav,demel.wav,2,2,0,j,1,0.9102262999999766,None,f,1,1.2538924000000407,None,,,,,0,2,2,1,,,,,10.339724699999806,,,,,,,,12.590990600000168,12.606539899999916,13.189753499999824,13.1758648,11.158785099999932,11.173424000000068,11.173424000000068,11.273100666666567,12.091119900000194,j,1,0.9102262999999766,None,14.474158699999862,14.489933299999848,14.974541300000055,13.176615899999888,13.189753499999824,13.189753499999824,13.289943866666606,14.458072599999923,f,1,1.2538924000000407,None,12.606539899999916,,,,,,,,,,,,,,,,,,,,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.974597699999777,14.990637200000037,16.12488200000007,space,1.1310223999998925,None,,,,,,,,,,,,,,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
129,filler,vas,sneppel,pw_s,pw,nw,nw,f,f,vas.wav,sneppel.wav,0,0,0,f,1,1.5261680000003253,None,f,1,1.3684559999996964,None,None,None,None,None,,,,,0,0,0,128,16.23991010000009,,,,,,,,18.658434099999795,18.673317400000087,19.39007619999984,19.37473749999981,17.10900730000003,17.124676500000078,17.124676500000078,17.22354696666686,18.65837109999984,,,,,,,,19.37547020000011,19.39007619999984,19.39007619999984,19.49121086666652,20.774959500000023,,,,,,,,,,,,18.023833100000047,f,1,1.5261680000003253,None,20.523811900000055,f,1,1.3684559999996964,None,20.775000900000123,20.775013399999807,None,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
121,filler,lates,loping,pw_s,pw,nw,nw,f,f,lates.wav,loping.wav,1,1,0,f,1,1.0835636000001614,None,f,1,1.1735352000000603,None,None,None,None,None,,,,,0,1,1,120,20.790361400000165,,,,,,,,22.24168809999992,22.256934399999864,22.84068900000011,22.82486680000011,21.141957100000127,21.1570542999998,21.1570542999998,21.256904466666825,22.241625799999838,,,,,,,,22.825537499999882,22.84068900000011,22.84068900000011,22.940092766666808,24.02535399999988,,,,,,,,,,,,22.090044399999897,f,1,1.0835636000001614,None,23.95666059999985,f,1,1.1735352000000603,None,24.025394799999958,24.02540880000015,None,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
63,experimental,vonnis,types,s_ph,s_pl,w,w,j,j,vonnis.wav,types.wav,2,2,0,j,1,1.2694065999999111,None,f,0,1.1458377000003566,None,2.3464,2.4502,None,None,,,,,0,2,2,62,24.04011159999982,,,,,,,,25.991989999999987,26.006768799999918,26.590215100000023,26.57479710000007,24.691966899999898,24.706618900000194,24.706618900000194,24.806831666666554,25.991928599999937,,,,,,,,26.575401099999908,26.590215100000023,26.590215100000023,26.690147466666772,27.74210230000017,,,,,,,,,,,,25.7905839,j,1,1.2694065999999111,None,27.490284999999858,f,0,1.1458377000003566,None,27.742144199999984,27.742158200000176,None,12,1,2025-04-09_16h04.46.583,ldt-dutch,2024.2.4,59.87937897898429,2025-04-09 16h04.50.833776 +0200,
224,filler,tentamen,kodaal,en_ph,pw,w,nw,j,f,tentamen.wav,kodaal.wav,3,3,0,,,,,,,,,1.5563,None,None,,,,,,0,3,3,223,27.75687999999991,,,,,,,,29.558343199999854,29.573602200000096,30.056926199999907,30.042351399999916,28.3923549000001,28.407154399999854,28.407154399999854,28.506793866666854,29.558291199999985,,,,,,,,30.043026499999996,30.056926199999907,30.056926199999907,30.156920166666865,,,,,,,,,,,,,29.540363399999933,j,1,1.1398850999999013,None,,,,,,,,,,,,,,,,
