stimID,stimType,prime,target,prime_cond,target_cond,prime_lex,target_lex,prime_corrAns,target_corrAns,prime_audio,target_audio,thisN,thisTrialN,thisRepN,primeKey.keys,primeKey.corr,primeKey.rt,primeKey.duration,targetKey.keys,targetKey.corr,targetKey.rt,targetKey.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,welcome.started,welcomeKey.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,primeStim.started,primeAudio.started,primeText.started,primeKey.started,primeStim.stopped,practice.primeKey.keys,practice.primeKey.corr,practice.primeKey.rt,practice.primeKey.duration,feedback.started,feedbackText.started,feedback.stopped,targetStim.started,targetAudio.started,targetText.started,targetKey.started,targetAudio.stopped,targetStim.stopped,practice.targetKey.keys,practice.targetKey.corr,practice.targetKey.rt,practice.targetKey.duration,feedbackText.stopped,primeAudio.stopped,start.started,startKey.started,participant,list_no,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09407780000037747,0.11135149999972782,0.4974557999994431,space,0.3805912999996508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,1,2025-04-08_18h09.28.942,ldt-dutch,2024.2.4,60.010429812651914,2025-04-08 18h09.32.770272 +0200,
b,practice,beer,demel,practice,practice,w,nw,j,f,beer.wav,demel.wav,0,0,0,j,1,0.689961799998855,None,f,1,1.0724511000007624,None,0,0,0,1,0.5115652000022237,,,,,,,,2.545835900000384,2.561642299999221,3.2784108000014385,3.263785999999527,1.3144496000022627,1.3279774666664403,1.328094799999235,1.328094799999235,2.0294303000009677,j,1,0.689961799998855,None,4.364702099999704,4.3783637000015005,4.863187200000539,3.2728582000017923,3.278883866667699,3.2784108000014385,3.2784108000014385,4.294720000001689,4.36458280000079,f,1,1.0724511000007624,None,4.878367200002685,,,,234,1,2025-04-08_18h09.28.942,ldt-dutch,2024.2.4,60.010429812651914,2025-04-08 18h09.32.770272 +0200,
c,practice,schulling,mand,practice,practice,nw,w,f,j,schulling.wav,mand.wav,1,1,0,f,1,1.1543716000014683,None,j,1,1.06207600000198,None,0,1,1,2,4.878367200002685,,,,,,,,7.430013600001985,7.44529490000059,8.345372600000701,8.3298715000019,5.7486707999996725,5.761653066667592,5.761781100001826,5.761781100001826,6.929872600001545,f,1,1.1543716000014683,None,9.41330150000067,9.428644600000553,9.913014400000975,8.337888300000486,8.345356166668596,8.345372600000701,8.345372600000701,9.345542999999452,9.413178999999218,j,1,1.06207600000198,None,9.928550200002064,,,,234,1,2025-04-08_18h09.28.942,ldt-dutch,2024.2.4,60.010429812651914,2025-04-08 18h09.32.770272 +0200,
a,practice,pippen,kaas,practice,practice,nw,w,f,j,pippen.wav,kaas.wav,2,2,0,f,1,1.3350037000018347,None,j,1,1.2656334999992396,None,0,2,2,0,9.928550200002064,,,,,,,,12.713396300001477,12.728554299999814,13.345526700002665,13.330841099999816,10.848237100002734,10.861866566669294,10.869036300002335,10.869036300002335,12.213458500002162,f,1,1.3350037000018347,None,14.613420199999382,14.628561600002286,15.113693400002376,13.338161800002126,13.346045566668424,13.345526700002665,13.345526700002665,14.345435300001554,14.613296999999875,j,1,1.2656334999992396,None,12.728554299999814,12.195274699999572,,,234,1,2025-04-08_18h09.28.942,ldt-dutch,2024.2.4,60.010429812651914,2025-04-08 18h09.32.770272 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.113753600002383,15.128704599999764,,,,,,,,
