stimID,stimType,prime,target,prime_cond,target_cond,prime_lex,target_lex,prime_corrAns,target_corrAns,prime_audio,target_audio,thisN,thisTrialN,thisRepN,primeKey.keys,primeKey.corr,primeKey.rt,primeKey.duration,targetKey.keys,targetKey.corr,targetKey.rt,targetKey.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,welcome.started,welcomeKey.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,primeStim.started,primeAudio.started,primeText.started,primeKey.started,primeStim.stopped,practice.primeKey.keys,practice.primeKey.corr,practice.primeKey.rt,practice.primeKey.duration,feedback.started,feedbackText.started,feedbackText.stopped,feedback.stopped,targetStim.started,targetAudio.started,targetText.started,targetKey.started,targetStim.stopped,practice.targetKey.keys,practice.targetKey.corr,practice.targetKey.rt,practice.targetKey.duration,participant,list_no,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09793749999880674,0.10072279999803868,0.5705097999998543,space,0.46416619999945397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,232332,1,2025-04-08_18h56.40.704,ldt-dutch,2024.2.4,60.041092123555856,2025-04-08 18h56.43.864683 +0200,
c,practice,schulling,mand,practice,practice,nw,w,f,j,schulling.wav,mand.wav,0,0,0,f,1,0.45467520000238437,None,j,1,0.7831690999992134,None,0,0,0,2,0.5846507999995083,,,,,,,,2.1187101999967126,2.134187599996949,2.9179513999988558,2.9022734999998647,1.1213498999968579,1.1341417666665317,1.1342436999984784,1.1342436999984784,1.6021992999994836,f,1,0.45467520000238437,None,3.722033799997007,3.734041799998522,4.234578599996894,4.218916099998751,2.9048621999972966,2.91766146666511,2.9179513999988558,2.9179513999988558,3.702478899998823,j,1,0.7831690999992134,None,232332,1,2025-04-08_18h56.40.704,ldt-dutch,2024.2.4,60.041092123555856,2025-04-08 18h56.43.864683 +0200,
a,practice,pippen,kaas,practice,practice,nw,w,f,j,pippen.wav,kaas.wav,1,1,0,f,1,0.9088584000019182,None,j,1,0.4897741999993741,None,0,1,1,0,4.234578599996894,,,,,,,,6.169356299997162,6.184579400000075,6.940083099998446,6.919801999996707,4.737691699996503,4.751121466663123,4.752138899999409,4.752138899999409,5.670554899999843,f,1,0.9088584000019182,None,7.452144099999714,7.4677105999980995,6.184579400000075,7.953041699998721,6.921772999998211,6.935292466663911,6.940083099998446,6.940083099998446,7.436416199998348,j,1,0.4897741999993741,None,232332,1,2025-04-08_18h56.40.704,ldt-dutch,2024.2.4,60.041092123555856,2025-04-08 18h56.43.864683 +0200,
b,practice,beer,demel,practice,practice,w,nw,j,f,beer.wav,demel.wav,2,2,0,,,,,,,,,0,2,2,1,7.968596999999136,,,,,,,,7.953142399997887,7.968596999999136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
